drug	pathway	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	mean					Curcumin
Curcumin	KEGG_hsa04110	0.510696054	0.699122965	0.611448884	0.39130649	0.485910475	0.512823761	0.458350301	0.580559611	0.68060416	0.401857406	0.48285836	0.574884295	0.615422368	0.520060539	0.603205681	0.541940757					
Curcumin	KEGG_hsa05215	0.734396219	0.76221925	0.768824577	0.564728022	0.696389198	0.701817453	0.753119409	0.805093408	0.803179681	0.768147528	0.751467824	0.74316299	0.764131129	0.736000657	0.782465518	0.742342858					
Curcumin	KEGG_hsa05144	0.573370218	0.71922195	0.61904484	0.449701071	0.550896227	0.61302042	0.654868007	0.688489616	0.748131812	0.524038613	0.637748659	0.673223853	0.672534883	0.607426882	0.668225944	0.626662866					
Curcumin	KEGG_hsa04114	0.446963161	0.576621175	0.508375764	0.204420656	0.485178918	0.397468835	0.424851507	0.587083638	0.640386939	0.391809374	0.368867397	0.533198118	0.586530328	0.412716419	0.610161424	0.47830891					
Curcumin	KEGG_hsa04728	0.509596348	0.570350766	0.541005909	0.301232845	0.533952653	0.497864932	0.558582902	0.559625804	0.614983618	0.469020009	0.476437002	0.508475125	0.547377288	0.445203155	0.624894142	0.517240167					
Curcumin	KEGG_hsa00534	0.125319809	0.118982106	0.139407367	0.054487012	0.191768587	0.094034389	0.165599197	0.202321887	0.078941695	0.259577394	0.168479964	0.188291043	0.112701528	0.139577448	0.277529538	0.154467931					
Curcumin	KEGG_hsa04917	0.693600237	0.762548983	0.707516491	0.551754534	0.758017957	0.73344177	0.700238109	0.731396377	0.793796599	0.666769862	0.724366307	0.72234863	0.737297237	0.638531446	0.786581218	0.713880384					
Curcumin	KEGG_hsa04340	0.227675125	0.246002346	0.244632319	0.1024234	0.221997291	0.157415345	0.296978295	0.118832141	0.341914713	0.129201859	0.223820746	0.201160416	0.183165193	0.223147601	0.215205908	0.208904847					
Curcumin	KEGG_hsa05146	0.747730851	0.781987011	0.67759192	0.511980057	0.652993083	0.703876793	0.697581589	0.771819651	0.833890557	0.640331566	0.732340038	0.721044183	0.752251148	0.681032717	0.688212931	0.70631094					
Curcumin	KEGG_hsa00983	0.480618477	0.514647722	0.354783952	0.227726832	0.447450608	0.370664597	0.424742907	0.362880439	0.509193242	0.282094806	0.353841513	0.324364722	0.243192419	0.365988523	0.411275536	0.378231086					
