MOL1	MOL2	CLASS
C1=CN(C=N1)c1ccc(cc1)c1cncnc1	OC(=O)c1cccc(c1)C(O)=O	1
NC(=O)Oc1ccccc1	C1COCCOCCOCCOCCOCCO1	1
OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O	Oc1cc(O)cc(O)c1	1
Fc1cc(F)c(F)c(I)c1F	CCCCCCCCCCOc1ccc(cc1)C=Cc1ccncc1	1
OC(=O)CCCCCCC(O)=O	C(N1C=CN=C1)N1C=CN=C1	1
c1cc(ccn1)N=Nc1ccncc1	ON=Cc1c(F)c(F)c(Br)c(F)c1F	1
BrN1C(=O)c2ccccc2C1=O	c1cc(ccn1)c1ccncc1	1
CCOC(=O)CCN(C(=O)c1ccc2N(C)C(=Nc2c1)CNc1ccc(cc1)C#N)c1ccccn1	OC(=O)C=CC(O)=O	1
O=C1NCc2ccc(CNC(=O)c3cccc(c3)C(=O)NCc3ccc(CNC(=O)c4cccc1c4)cc3)cc2	O=C(CC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1	1
Cc1c(c(C)c(c(O)c1N(=O)=O)N(=O)=O)N(=O)=O	C1Cc2cccc3cccc1c23	1
O=C(NCc1ccccn1)C(=O)NCc1ccccn1	Nc1ccccc1C(O)=O	1
NNC(=O)c1ccncc1	OC(=O)c1ccc(O)cc1	1
COc1ccc(cc1)C1=NN(C(C1)c1ccc2ccc3cccc4ccc1c2c34)C(C)=O	Oc1ccccc1	1
COc1ccc2cc(ccc2c1)C(C)C(O)=O	[NH3+]C(C)C(=O)[O-]	1
COc1cccc(C=Nc2ccccc2)c1O	NC(N)=O	1
O=C1C=C(Oc2ccccc12)c1ccccc1	Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1	1
CC(C)C1CCC(C)CC1OC(=O)C(O)C(O)C(=O)OC1CC(C)CCC1C(C)C	c1ccnnc1	1
c1cnc2c(c1)ccc1cccnc21	Fc1ccc(cc1)I(C#N)C#N	1
CC(C)(C)c1cc2N=C(Oc2c(c1)C(C)(C)C)C1=Nc2cc(cc(c2O1)C(C)(C)C)C(C)(C)C	CC(C)(C)c1cc(O)c(O)c(c1)C(C)(C)C	1
FC1=C(F)C(C(=C(F)C1=C(C#N)C#N)F)=C(C#N)C#N	COc1ccc2SC3=C(Sc4ccc(OC)cc34)c2c1	1
Cc1cc(Cl)cc(C2=NC(=NO2)CS(C)(=O)=O)c1NC(=O)C1=CC(=NN1c1ncccc1Cl)Br	CC=CC	1
O=C1N(Cc2ccccn2)C(=O)c2cc3C(=O)N(Cc4ccccn4)C(=O)c3cc12	Oc1cccc2c(O)cccc12	1
CCCCOc1ccc(cc1)C(O)=O	c1cc(ccn1)C=Cc1ccncc1	1
Nc1ccc(C(O)=O)c(O)c1	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	1
CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O	Oc1cccc(O)c1	1
C1COCCOc2ccccc2OCCOCCOCCOc2ccccc2OCCO1	CC(=O)N(Cc1ccc(COC(=O)c2cc(C)cc(C)c2)cc1)Cc1cc(C)cc(C)c1	1
OC(=O)c1ccc(O)cc1	S=C1NC=NC2=C1NC=N2	1
N1C2=CC=CC=C2C2=CC=CC=C12	C1=CC=C2C(=C1)C=CC1=C2C=CC2=CC=CC=C12	0
NC(=S)NNC(N)=S	C1COCCOc2ccccc2Oc2ccccc2OCCOCCO1	1
N#Cc1ccncc1	OC(=O)c1ccccc1	1
c1ccc(C=NN=Cc2ccccn2)nc1	OC(=O)c1ccccc1	1
N1C=CN=C1	Oc1ccc2ccc(O)cc2c1	1
Fc1c(F)c(F)c(C=C2C3CCC(C3)C2=Cc2c(F)c(F)c(F)c(F)c2F)c(F)c1F	C1CC2CC1C(=Cc1ccccc1)C2=Cc1ccccc1	1
Cc1cccc(C)c1N	Oc1ccc(cc1)C1(CCCCC1)c1ccc(O)cc1	1
C1CNCCN1	COc1ccc2cc(ccc2c1)C(C)C(O)=O	1
OC(=O)C1=CC=C(Cl)S1	c1ccc2nc3ccccc3cc2c1	1
CC1(CO)C(O)CCC2(C)C(CC=C3C(O)COC3=O)C(=C)CCC12	COc1cc(ccc1O)C(O)=O	1
N1C=Nc2ccccc12	OC(=O)CCN1C(=O)c2ccccc2C1=O	1
CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2	OC(=O)C1=CC=CC=C1[N+](=O)[O-]	0
OC(=O)c1ccc(Oc2nc(Oc3ccc(cc3)C(O)=O)nc(Oc3ccc(cc3)C(O)=O)n2)cc1	c1cc(ccn1)C=Cc1ccncc1	1
CN1c2ccccc2N=C1c1ccncc1	ON=Cc1c(F)c(F)c(Br)c(F)c1F	1
